difficulty_rank,course_name,category,ranking_row_count,unique_players,rank1_time_ms,rank2_time_ms,rank10_time_ms,rank2to5_median_time_ms,rank1_to_rank2to5_median_percent_gap,rank2_to_rank10_percent_spread,first_place_outlierness_raw,top_density_spread_raw,first_place_outlierness,top_density,first_place_difficulty,difficulty_multiplier
45,ビル--隙間--,kuwaty,100,100,18102,18401,19775,19043.0,5.198320627554964,7.46698548991902,0.05067715057170056,0.07201350268948022,0.7439024390243902,0.35853658536585364,0.4838657457371033,1.0483865745737104
46,雨緑林,normal,100,100,52905,53450,53954,53700.0,1.5026935072299352,0.942937324602422,0.014915149158693944,0.009385194209398501,0.32439024390243903,0.948780487804878,0.48347817960938233,1.0483478179609382
47,dungeon of ruins,normal,100,100,87047,87254,90847,88780.0,1.9908784909301813,4.1178627913906585,0.019713196737878514,0.04035336752912766,0.4121951219512195,0.578048780487805,0.4812327285834435,1.0481232728583443
48,ColorTunnel,normal,100,100,159582,171016,184800,178510.0,11.860986828088382,8.060064555363233,0.11208672535900255,0.07751703983060412,0.8902439024390244,0.3292682926829268,0.4807317073170731,1.0480731707317072
49,サイド,matataki,100,100,32750,32899,34089,33362.5,1.8702290076335837,3.617131219793923,0.01852955264938156,0.03553248943137525,0.3878048780487805,0.6317073170731707,0.4805811646633213,1.048058116466332
50,厳冬の煌めき,normal,100,100,57450,59302,63848,60273.0,4.913838120104441,7.665846008566324,0.04796923796936786,0.07386222632594798,0.7341463414634146,0.35365853658536583,0.47735972875423816,1.0477359728754239
51,Screw Biome,normal,100,100,313302,317902,337653,322596.5,2.9666264498790396,6.212920963064095,0.029234734687608375,0.06027558173787174,0.573170731707317,0.4024390243902439,0.4728658536585366,1.0472865853658537
52,Caves.,normal,100,100,72702,72949,77596,75062.5,3.2468157684795385,6.370203841039634,0.031952205362761714,0.061755312613211946,0.6121951219512195,0.3829268292682927,0.47115016738402676,1.0471150167384027
53,シュルシュル,matataki,100,100,24299,24899,26550,25148.0,3.4939709453063905,6.630788385075714,0.034343173284463985,0.06420210566631647,0.6365853658536585,0.37317073170731707,0.4705196182396607,1.047051961823966
54,帰路の森,normal,100,100,54048,54552,57651,55432.0,2.560686796921252,5.680818301803781,0.025284503699690555,0.055253217400047946,0.4951219512195122,0.4463414634146341,0.4694679641096929,1.0469467964109693
55,ジャングルジム-マツ-,kuwaty,100,100,24604,24762,26453,25475.5,3.5421069744757006,6.829012196106943,0.03480817465543583,0.0660593534241655,0.6463414634146342,0.36829268292682926,0.46921904315197,1.046921904315197
